,index,Term,LoanStatus,BorrowerRate,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),EmploymentStatus,BorrowerState,Occupation,IsBorrowerHomeowner,DelinquenciesLast7Years,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,LoanOriginationDate,LoanNumber,LoanOriginationQuarter,Recommendations,CurrentDelinquencies,Investors
68,83,36,Defaulted,0.2958,2.0,E,6.0,Other,Employed,GA,Accountant/CPA,False,3.0,3250.0,0.0,4000,2012-06-08,67600,Q2 2012,0,0.0,11
72,87,36,Completed,0.2999,2.0,E,3.0,Debt Consolidation,Employed,GA,Professional,True,30.0,3333.333333,1.0,4000,2012-06-01,67158,Q2 2012,0,0.0,35
73,88,36,Completed,0.3199,1.0,HR,3.0,Other,Employed,CO,Construction,True,0.0,6250.0,0.0,4000,2011-11-18,56294,Q4 2011,0,0.0,48
75,91,36,Completed,0.322,2.0,E,5.0,Debt Consolidation,Employed,MN,Other,False,0.0,2250.0,0.0,3500,2010-12-20,45977,Q4 2010,0,0.0,54
76,93,60,Defaulted,0.2489,4.0,C,7.0,Other,Employed,MN,Laborer,True,0.0,5416.666667,0.0,7000,2012-06-13,67856,Q2 2012,0,0.0,152
83,100,36,Defaulted,0.3134,1.0,HR,3.0,Other,Not employed,CA,Other,False,0.0,0.0,1.0,4000,2013-01-30,82947,Q1 2013,0,0.0,73
84,102,36,Completed,0.1338,6.0,A,9.0,Debt Consolidation,Employed,MD,Professional,True,1.0,15000.0,1.0,10000,2009-09-15,38476,Q3 2009,0,0.0,293
85,103,36,Defaulted,0.2287,3.0,D,2.0,Business,Self-employed,CO,Truck Driver,True,0.0,5000.0,1.0,15000,2012-04-19,63925,Q2 2012,0,0.0,21
87,105,36,Defaulted,0.2699,3.0,D,6.0,Auto,Employed,WI,Sales - Commission,False,7.0,2666.666667,0.0,2000,2011-08-31,52871,Q3 2011,0,1.0,27
89,107,36,Defaulted,0.3177,1.0,HR,2.0,Debt Consolidation,Employed,OH,Administrative Assistant,False,0.0,2833.333333,0.0,4000,2012-04-23,64080,Q2 2012,0,0.0,13
90,109,36,Completed,0.1234,4.0,C,9.0,Debt Consolidation,Employed,IL,Police Officer/Correction Officer,True,0.0,5833.333333,1.0,2000,2010-01-20,40424,Q1 2010,0,0.0,164
91,110,36,Completed,0.31,1.0,HR,5.0,Other,Employed,PA,Nurse (RN),True,0.0,4666.666667,1.0,3000,2010-11-30,45654,Q4 2010,0,1.0,80
93,112,36,Defaulted,0.3177,1.0,HR,3.0,Debt Consolidation,Employed,AL,Social Worker,True,0.0,2583.333333,0.0,4000,2012-04-17,63730,Q2 2012,0,0.0,25
103,130,60,Completed,0.2225,3.0,D,6.0,Home Improvement,Employed,TX,Food Service Management,True,4.0,4833.333333,0.0,10000,2013-09-13,101842,Q3 2013,0,0.0,1
108,138,36,Defaulted,0.2999,2.0,E,3.0,Auto,Employed,KY,Military Enlisted,True,23.0,3750.0,1.0,3000,2012-03-21,62391,Q1 2012,0,2.0,31
109,139,36,Defaulted,0.2999,2.0,E,3.0,Home Improvement,Other,KY,Other,False,20.0,1835.416667,1.0,2500,2012-03-27,62579,Q1 2012,0,0.0,25
110,140,36,Completed,0.1009,6.0,A,9.0,Business,Employed,MD,Accountant/CPA,False,0.0,4833.333333,0.0,5000,2009-10-20,38992,Q4 2009,1,0.0,255
115,147,36,Completed,0.0712,7.0,AA,10.0,Auto,Employed,OK,Professional,False,0.0,4169.333333,1.0,2200,2009-09-22,38616,Q3 2009,0,0.0,132
122,155,60,Completed,0.183,5.0,B,7.0,Business,Employed,CA,Computer Programmer,False,0.0,6333.333333,1.0,15000,2012-04-30,64867,Q2 2012,0,0.0,149
123,157,36,Defaulted,0.3177,1.0,HR,5.0,Business,Employed,NY,Food Service,True,21.0,2500.0,0.0,4000,2012-09-14,74474,Q3 2012,0,0.0,22
125,159,36,Completed,0.2155,4.0,C,8.0,Home Improvement,Employed,OR,Analyst,False,0.0,3493.75,0.0,3000,2010-03-12,41171,Q1 2010,0,0.0,146
129,165,36,Completed,0.093,7.0,AA,8.0,Business,Employed,CA,Other,True,0.0,5250.0,0.0,9000,2010-03-30,41499,Q1 2010,0,0.0,413
134,170,36,Completed,0.2499,3.0,D,5.0,Other,Not employed,FL,Other,True,0.0,0.0,0.0,10000,2012-04-17,63781,Q2 2012,0,0.0,161
135,171,36,Completed,0.092,6.0,A,9.0,Business,Employed,GA,Tradesman - Mechanic,True,0.0,5586.5,0.0,6500,2010-03-25,41396,Q1 2010,0,0.0,209
140,179,36,Defaulted,0.3073,2.0,E,1.0,Home Improvement,Employed,MN,Postal Service,True,0.0,4583.333333,1.0,5500,2011-12-20,57647,Q4 2011,0,1.0,45
145,185,36,Defaulted,0.2365,4.0,C,6.0,Debt Consolidation,Self-employed,CA,Teacher,True,0.0,3333.333333,0.0,6000,2010-08-09,43843,Q3 2010,0,0.0,243
146,186,36,Defaulted,0.3177,1.0,HR,5.0,Home Improvement,Not employed,MD,Other,False,83.0,0.0,0.0,4000,2012-02-16,60674,Q1 2012,0,0.0,45
151,194,36,Completed,0.2599,3.0,D,5.0,Other,Employed,KY,Other,False,1.0,4166.666667,0.0,3800,2011-10-24,54803,Q4 2011,0,0.0,48
154,197,36,Completed,0.1621,5.0,B,8.0,Debt Consolidation,Employed,FL,Waiter/Waitress,False,0.0,2083.333333,0.0,3000,2011-12-22,57865,Q4 2011,0,0.0,58
155,198,36,Completed,0.2575,3.0,D,8.0,Other,Employed,NY,Professional,False,0.0,10000.0,1.0,3000,2010-08-09,43868,Q3 2010,0,0.0,53
157,200,36,Defaulted,0.3199,1.0,HR,2.0,Business,Employed,VA,Executive,False,0.0,5500.0,0.0,4000,2011-09-30,54072,Q3 2011,0,0.0,13
169,218,36,Defaulted,0.1559,5.0,B,4.0,Debt Consolidation,Self-employed,WA,Other,True,0.0,4416.666667,2.0,10000,2013-03-18,86316,Q1 2013,0,0.0,180
170,219,36,Completed,0.197,4.0,C,9.0,Debt Consolidation,Employed,NY,Professional,False,0.0,12500.0,0.0,5500,2010-01-25,40529,Q1 2010,0,0.0,278
172,223,36,Completed,0.1099,6.0,A,6.0,Debt Consolidation,Employed,FL,Administrative Assistant,False,0.0,3000.0,0.0,7000,2013-10-10,105272,Q4 2013,0,2.0,1
178,230,60,Completed,0.1219,6.0,A,7.0,Debt Consolidation,Employed,MI,Other,True,2.0,3666.666667,0.0,8000,2013-08-08,98387,Q3 2013,0,0.0,1
187,239,36,Completed,0.0899,6.0,A,8.0,Other,Employed,NY,Professional,True,0.0,6000.0,1.0,2000,2012-03-13,61913,Q1 2012,0,0.0,43
188,240,36,Completed,0.2499,3.0,D,6.0,Home Improvement,Employed,OH,Laborer,True,0.0,2291.666667,0.0,2000,2012-05-29,66798,Q2 2012,0,0.0,28
189,242,36,Completed,0.322,2.0,E,5.0,Debt Consolidation,Employed,FL,Professional,True,0.0,4504.166667,1.0,7500,2010-12-16,46011,Q4 2010,0,0.0,96
192,245,12,Completed,0.0817,6.0,A,9.0,Debt Consolidation,Employed,NY,Computer Programmer,False,0.0,8333.333333,0.0,10000,2012-07-06,69201,Q3 2012,0,0.0,21
194,248,36,Completed,0.201,4.0,C,10.0,Debt Consolidation,Employed,FL,Administrative Assistant,False,0.0,4333.333333,1.0,1500,2009-11-04,39277,Q4 2009,1,0.0,59
195,253,36,Completed,0.275,3.0,D,8.0,Debt Consolidation,Employed,IL,Other,False,0.0,2583.333333,0.0,5000,2010-10-25,44959,Q4 2010,0,0.0,139
197,255,36,Completed,0.2379,3.0,D,7.0,Other,Employed,AL,Computer Programmer,False,0.0,2083.333333,0.0,3000,2010-01-15,40435,Q1 2010,0,0.0,94
200,260,36,Defaulted,0.3149,2.0,E,4.0,Debt Consolidation,Employed,PA,Professional,False,1.0,2666.666667,0.0,6000,2011-10-17,54549,Q4 2011,0,1.0,2
201,262,36,Defaulted,0.2958,2.0,E,6.0,Debt Consolidation,Employed,MO,Police Officer/Correction Officer,True,5.0,3500.0,0.0,2500,2012-05-16,65558,Q2 2012,0,0.0,24
203,265,36,Completed,0.3177,1.0,HR,5.0,Debt Consolidation,Employed,CO,Retail Management,False,0.0,2750.0,0.0,4000,2012-07-03,69101,Q3 2012,0,0.0,86
204,266,36,Defaulted,0.3177,1.0,HR,4.0,Debt Consolidation,Employed,VA,Other,True,0.0,3750.0,0.0,4000,2012-06-01,67177,Q2 2012,0,0.0,16
205,267,36,Completed,0.3199,2.0,E,4.0,Debt Consolidation,Employed,MD,Other,True,0.0,5000.0,0.0,7500,2011-06-22,50513,Q2 2011,0,0.0,103
207,269,36,Completed,0.3495,1.0,HR,5.0,Debt Consolidation,Employed,OH,Other,False,0.0,3958.333333,1.0,2500,2010-05-20,42572,Q2 2010,1,1.0,34
215,280,36,Completed,0.3177,1.0,HR,1.0,Other,Employed,CA,Engineer - Mechanical,True,0.0,6666.666667,1.0,4000,2012-08-30,73469,Q3 2012,0,2.0,45
218,283,36,Completed,0.139,6.0,A,9.0,Debt Consolidation,Employed,TX,Teacher,False,0.0,3750.0,0.0,4500,2011-09-07,53005,Q3 2011,0,0.0,78
219,284,36,Defaulted,0.1874,4.0,C,4.0,Other,Employed,NC,Accountant/CPA,False,0.0,6000.0,1.0,7000,2012-04-12,63477,Q2 2012,0,0.0,123
222,287,36,Completed,0.2599,3.0,D,6.0,Other,Employed,FL,Dentist,False,0.0,10000.0,0.0,10000,2011-11-30,56583,Q4 2011,0,0.0,21
227,292,36,Completed,0.2839,2.0,E,8.0,Debt Consolidation,Employed,NJ,Professional,False,0.0,5000.0,0.0,4000,2012-08-08,72101,Q3 2012,0,0.0,44
231,297,36,Defaulted,0.2287,3.0,D,5.0,Debt Consolidation,Employed,KY,Other,False,0.0,2000.0,1.0,5025,2012-03-12,61789,Q1 2012,0,0.0,102
235,302,36,Defaulted,0.2625,3.0,D,7.0,Debt Consolidation,Employed,TX,Sales - Retail,False,0.0,4183.333333,0.0,2500,2010-06-14,42941,Q2 2010,0,0.0,68
236,303,36,Defaulted,0.2699,3.0,D,6.0,Debt Consolidation,Self-employed,CA,Architect,False,0.0,2500.0,0.0,4000,2011-02-16,47167,Q1 2011,0,0.0,84
238,305,36,Completed,0.3435,2.0,E,5.0,Auto,Employed,KS,Other,True,1.0,2916.666667,0.0,1500,2010-09-21,44473,Q3 2010,0,0.0,40
241,309,36,Completed,0.139,6.0,A,9.0,Other,Employed,NY,Analyst,True,0.0,5250.0,0.0,15000,2011-09-27,53787,Q3 2011,0,0.0,230
249,319,36,Completed,0.275,3.0,D,8.0,Debt Consolidation,Employed,AL,Executive,True,8.0,8750.0,0.0,7500,2010-11-18,45438,Q4 2010,0,1.0,205
254,328,36,Defaulted,0.3177,1.0,HR,5.0,Debt Consolidation,Employed,OH,Nurse (LPN),True,1.0,5475.0,0.0,4000,2012-10-26,76997,Q4 2012,0,0.0,37
259,335,36,Completed,0.3177,1.0,HR,3.0,Other,Not employed,NJ,Other,False,0.0,0.0,0.0,2000,2012-03-27,62667,Q1 2012,0,0.0,47
262,342,36,Defaulted,0.2599,3.0,D,6.0,Debt Consolidation,Employed,TN,Other,True,0.0,2414.5,0.0,2000,2011-03-07,47572,Q1 2011,0,0.0,44
264,344,36,Defaulted,0.095,7.0,AA,9.0,Debt Consolidation,Employed,MD,Medical Technician,True,0.0,3000.0,0.0,5000,2009-12-04,39785,Q4 2009,0,0.0,205
270,353,12,Completed,0.19,3.0,D,7.0,Other,Employed,GA,Professional,True,0.0,15000.0,0.0,2000,2011-12-22,57769,Q4 2011,0,0.0,9
271,354,36,Completed,0.34,1.0,HR,2.0,Business,Self-employed,CO,Truck Driver,False,0.0,4166.666667,1.0,2500,2010-11-26,45603,Q4 2010,0,0.0,56
276,360,12,Completed,0.2499,3.0,D,6.0,Auto,Employed,MN,Professional,True,0.0,4333.333333,0.0,3000,2011-07-06,50844,Q3 2011,0,0.0,49
277,361,36,Completed,0.2899,2.0,E,3.0,Debt Consolidation,Employed,CA,Clerical,False,20.0,3500.0,2.0,4500,2011-05-18,49478,Q2 2011,0,1.0,29
278,363,36,Completed,0.3177,1.0,HR,5.0,Other,Employed,NM,Executive,False,0.0,3750.0,0.0,4000,2012-02-16,60628,Q1 2012,0,0.0,2
281,371,36,Completed,0.1385,5.0,B,8.0,Other,Employed,OH,Computer Programmer,True,0.0,6166.666667,0.0,4000,2010-02-26,41040,Q1 2010,0,0.0,107
287,379,36,Defaulted,0.26,1.0,HR,6.0,Debt Consolidation,Employed,MO,Other,False,0.0,3163.333333,3.0,4000,2010-11-26,45601,Q4 2010,0,0.0,91
288,381,36,Completed,0.3199,2.0,E,5.0,Business,Employed,CA,Other,False,4.0,6666.666667,0.0,7500,2011-06-14,50309,Q2 2011,0,0.0,114
290,385,12,Completed,0.2343,2.0,E,8.0,Business,Employed,OK,Retail Management,False,1.0,6666.666667,0.0,4000,2012-05-11,65512,Q2 2012,0,0.0,84
293,390,36,Completed,0.2699,3.0,D,5.0,Other,Self-employed,CT,Professional,True,0.0,12500.0,0.0,7000,2011-07-20,51302,Q3 2011,0,0.0,31
294,391,36,Defaulted,0.1902,4.0,C,5.0,Debt Consolidation,Employed,KS,Other,True,0.0,3631.166667,1.0,3000,2012-05-25,66729,Q2 2012,0,0.0,54
296,393,36,Completed,0.092,6.0,A,9.0,Debt Consolidation,Employed,OK,Professional,True,0.0,16666.666667,0.0,4700,2010-07-12,43359,Q3 2010,0,0.0,135
298,396,60,Completed,0.2124,5.0,B,8.0,Debt Consolidation,Employed,GA,Tradesman - Electrician,True,0.0,2916.666667,0.0,11000,2012-09-21,74818,Q3 2012,0,0.0,52
299,397,60,Defaulted,0.2969,2.0,E,3.0,Other,Employed,FL,Professional,False,21.0,4166.666667,3.0,4000,2013-04-23,88817,Q2 2013,0,11.0,58
302,406,36,Defaulted,0.325,3.0,D,7.0,Home Improvement,Employed,NY,Architect,True,7.0,8083.333333,1.0,8000,2010-02-26,41065,Q1 2010,0,0.0,62
303,407,60,Completed,0.3304,2.0,E,3.0,Debt Consolidation,Employed,MI,Computer Programmer,True,15.0,7083.333333,3.0,4000,2012-03-19,62131,Q1 2012,0,0.0,21
304,408,12,Completed,0.1224,5.0,B,8.0,Debt Consolidation,Employed,CA,Executive,False,0.0,8333.333333,0.0,6950,2012-07-18,70452,Q3 2012,0,0.0,12
306,411,36,Completed,0.103,7.0,AA,8.0,Debt Consolidation,Employed,ID,Engineer - Chemical,True,0.0,8750.0,0.0,20000,2010-02-26,41039,Q1 2010,0,0.0,685
308,414,36,Completed,0.111,6.0,A,8.0,Debt Consolidation,Employed,IL,Computer Programmer,True,0.0,6083.333333,4.0,10000,2011-11-14,56062,Q4 2011,0,0.0,131
309,415,36,Completed,0.3435,2.0,E,5.0,Debt Consolidation,Employed,AZ,Professional,False,1.0,4333.333333,0.0,7500,2010-09-10,44339,Q3 2010,0,0.0,235
313,419,36,Defaulted,0.3134,1.0,HR,3.0,Other,Other,GA,Other,False,0.0,1061.0,1.0,4000,2013-05-22,91064,Q2 2013,0,1.0,50
314,420,36,Completed,0.2124,4.0,C,8.0,Debt Consolidation,Employed,WV,Construction,True,0.0,10000.0,0.0,9000,2013-08-14,98493,Q3 2013,0,0.0,98
315,422,36,Completed,0.1115,6.0,A,9.0,Debt Consolidation,Employed,TN,Analyst,True,0.0,6666.666667,0.0,10000,2010-10-28,45065,Q4 2010,0,0.0,292
316,424,36,Defaulted,0.2499,3.0,D,5.0,Other,Employed,ID,Other,False,0.0,2916.666667,0.0,15000,2012-05-17,65582,Q2 2012,0,0.0,284
317,425,36,Completed,0.34,4.0,C,9.0,Debt Consolidation,Employed,OH,Administrative Assistant,False,0.0,2750.0,0.0,2500,2009-11-09,39353,Q4 2009,0,0.0,30
319,428,36,Defaulted,0.3199,2.0,E,5.0,Debt Consolidation,Employed,NV,Other,True,0.0,11429.583333,0.0,7500,2011-03-18,47814,Q1 2011,0,0.0,80
325,436,36,Defaulted,0.274,3.0,D,6.0,Business,Employed,TN,Executive,True,0.0,3033.333333,1.0,7500,2010-11-30,45634,Q4 2010,1,0.0,224
327,438,36,Defaulted,0.3058,2.0,E,6.0,Debt Consolidation,Employed,TX,Attorney,False,10.0,6250.0,0.0,4000,2012-01-24,59267,Q1 2012,0,2.0,2
329,441,36,Defaulted,0.3199,2.0,E,4.0,Business,Employed,WA,Other,True,0.0,2666.666667,0.0,7500,2011-05-04,49113,Q2 2011,0,0.0,42
335,449,36,Completed,0.3177,1.0,HR,3.0,Home Improvement,Employed,AR,Truck Driver,True,4.0,5416.666667,0.0,4000,2012-09-28,75476,Q3 2012,0,0.0,62
337,451,36,Completed,0.1609,5.0,B,5.0,Debt Consolidation,Employed,VA,Administrative Assistant,False,0.0,2884.583333,3.0,7000,2011-11-23,56536,Q4 2011,0,0.0,142
342,458,60,Completed,0.2045,4.0,C,4.0,Debt Consolidation,Employed,MN,Engineer - Mechanical,True,0.0,5000.0,0.0,7000,2013-11-14,110663,Q4 2013,0,0.0,7
343,459,36,Completed,0.1799,5.0,B,8.0,Debt Consolidation,Employed,SC,Other,False,0.0,3133.333333,0.0,13500,2011-09-07,53014,Q3 2011,0,0.0,111
344,460,60,Completed,0.2319,4.0,C,3.0,Debt Consolidation,Employed,OK,Doctor,True,21.0,7500.0,0.0,10000,2013-07-22,95991,Q3 2013,0,0.0,17
349,466,36,Completed,0.1449,5.0,B,6.0,Other,Employed,WA,Police Officer/Correction Officer,True,17.0,3083.333333,1.0,2500,2012-03-20,62274,Q1 2012,0,2.0,45
351,470,60,Defaulted,0.2498,4.0,C,7.0,Debt Consolidation,Employed,PA,Professional,False,2.0,1916.666667,0.0,10000,2012-09-11,74171,Q3 2012,0,0.0,5
364,486,36,Completed,0.1949,4.0,C,6.0,Other,Employed,MO,Nurse (RN),True,0.0,6500.0,0.0,14584,2011-03-22,47859,Q1 2011,0,0.0,234
365,489,36,Defaulted,0.274,3.0,D,7.0,Debt Consolidation,Employed,MD,Other,True,7.0,5416.666667,0.0,5000,2010-01-28,40653,Q1 2010,0,0.0,170
367,492,12,Completed,0.1177,5.0,B,7.0,Debt Consolidation,Employed,NV,Pilot - Private/Commercial,True,4.0,8500.0,0.0,4000,2013-02-20,85182,Q1 2013,0,0.0,72
368,493,36,Defaulted,0.3177,1.0,HR,4.0,Debt Consolidation,Other,NJ,Other,False,0.0,3750.0,0.0,4000,2012-04-17,63773,Q2 2012,0,0.0,5
371,497,36,Completed,0.275,3.0,D,6.0,Business,Retired,WA,Other,True,0.0,6200.0,0.0,5000,2010-08-24,44076,Q3 2010,0,0.0,72
372,501,36,Defaulted,0.21,1.0,HR,5.0,Other,Employed,OK,Sales - Commission,False,0.0,2500.0,1.0,1000,2010-06-11,42926,Q2 2010,0,1.0,31
383,512,36,Completed,0.15,7.0,AA,7.0,Home Improvement,Employed,VA,Pharmacist,True,0.0,9166.666667,0.0,15000,2010-07-28,43724,Q3 2010,0,0.0,201
390,522,36,Completed,0.2255,4.0,C,8.0,Other,Employed,GA,Teacher,True,0.0,5000.0,0.0,5000,2010-06-08,42863,Q2 2010,0,0.0,102
391,523,36,Completed,0.275,3.0,D,7.0,Other,Employed,MI,Professional,False,21.0,4125.0,0.0,3000,2010-11-16,45372,Q4 2010,0,0.0,79
393,525,36,Completed,0.2599,3.0,D,7.0,Debt Consolidation,Employed,PA,Other,True,0.0,6250.0,0.0,10000,2011-10-31,55547,Q4 2011,0,0.0,13
394,527,36,Completed,0.3269,1.0,HR,1.0,Debt Consolidation,Employed,CA,Professional,True,0.0,5916.666667,0.0,1500,2010-11-23,45490,Q4 2010,0,0.0,27
397,531,12,Completed,0.1279,5.0,B,4.0,Other,Employed,TN,Executive,True,0.0,5666.666667,3.0,2000,2012-08-31,73462,Q3 2012,0,0.0,21
400,537,36,Completed,0.3199,2.0,E,7.0,Debt Consolidation,Employed,NH,Professional,False,0.0,3500.0,0.0,6290,2011-05-18,49419,Q2 2011,0,2.0,121
404,543,36,Defaulted,0.35,1.0,HR,5.0,Home Improvement,Employed,IL,Truck Driver,False,36.0,4166.666667,0.0,3000,2010-01-26,40593,Q1 2010,0,0.0,97
406,545,36,Completed,0.236,4.0,C,5.0,Home Improvement,Employed,FL,Other,True,0.0,2833.333333,0.0,21500,2009-11-04,39259,Q4 2009,0,0.0,718
410,551,36,Completed,0.2574,3.0,D,4.0,Debt Consolidation,Employed,CO,Truck Driver,False,0.0,2083.333333,2.0,4000,2011-10-12,54415,Q4 2011,0,1.0,56
412,553,36,Completed,0.2511,3.0,D,6.0,Debt Consolidation,Employed,FL,Administrative Assistant,False,0.0,4416.666667,0.0,10000,2011-12-22,57882,Q4 2011,0,0.0,4
416,558,36,Defaulted,0.2599,3.0,D,7.0,Debt Consolidation,Employed,GA,Other,False,0.0,2529.166667,0.0,7500,2011-03-28,48056,Q1 2011,0,0.0,117
419,561,36,Completed,0.2199,3.0,D,2.0,Other,Employed,TX,Other,True,6.0,6000.0,2.0,3200,2013-04-10,87711,Q2 2013,0,1.0,44
423,565,60,Completed,0.2235,3.0,D,4.0,Debt Consolidation,Self-employed,CO,Homemaker,False,9.0,6250.0,0.0,10000,2013-11-27,118134,Q4 2013,0,0.0,83
425,567,36,Completed,0.26,1.0,HR,5.0,Home Improvement,Employed,IN,Engineer - Mechanical,True,1.0,3416.666667,1.0,2100,2009-11-09,39331,Q4 2009,2,0.0,64
428,571,36,Completed,0.3199,2.0,E,5.0,Debt Consolidation,Employed,GA,Retail Management,True,1.0,4500.0,0.0,7500,2011-01-31,46839,Q1 2011,0,0.0,79
431,575,60,Completed,0.2962,2.0,E,6.0,Debt Consolidation,Employed,FL,Truck Driver,False,19.0,3083.333333,2.0,2100,2013-01-17,82693,Q1 2013,0,1.0,23
437,584,12,Completed,0.1434,4.0,C,7.0,Other,Employed,CA,Analyst,False,0.0,6000.0,0.0,4000,2012-03-02,61503,Q1 2012,0,0.0,95
440,588,36,Completed,0.1129,6.0,A,8.0,Debt Consolidation,Employed,IL,Clerical,True,0.0,4916.666667,1.0,25000,2011-09-30,54114,Q3 2011,0,1.0,106
441,591,60,Completed,0.1551,6.0,A,8.0,Debt Consolidation,Employed,TX,Analyst,True,0.0,7083.333333,0.0,13000,2012-07-18,70699,Q3 2012,0,0.0,15
445,596,36,Completed,0.2499,3.0,D,5.0,Other,Employed,CA,Nurse (RN),True,0.0,4541.666667,0.0,15000,2012-05-08,65358,Q2 2012,0,0.0,243
447,598,36,Completed,0.3199,2.0,E,5.0,Debt Consolidation,Employed,TX,Computer Programmer,True,0.0,6180.0,0.0,7000,2011-08-16,52190,Q3 2011,0,0.0,12
449,600,36,Completed,0.295,3.0,D,7.0,Other,Employed,WA,Executive,True,31.0,7916.666667,0.0,3500,2011-01-11,46421,Q1 2011,0,0.0,20
455,607,60,Defaulted,0.3232,2.0,E,5.0,Home Improvement,Employed,MO,Accountant/CPA,True,0.0,5500.0,0.0,4000,2012-11-20,78158,Q4 2012,0,0.0,81
456,608,36,Completed,0.071,7.0,AA,10.0,Home Improvement,Employed,FL,Attorney,True,0.0,8833.333333,0.0,2500,2010-06-30,43232,Q2 2010,0,0.0,76
461,613,36,Completed,0.0974,6.0,A,8.0,Debt Consolidation,Employed,NY,Other,False,0.0,13333.333333,1.0,20500,2011-12-29,58232,Q4 2011,0,0.0,335
464,617,36,Completed,0.149,5.0,B,9.0,Auto,Employed,NJ,Truck Driver,False,0.0,3333.333333,0.0,3500,2010-12-30,46363,Q4 2010,0,0.0,56
469,623,36,Defaulted,0.2725,3.0,D,6.0,Debt Consolidation,Employed,OR,Other,True,1.0,2500.0,1.0,5000,2010-05-18,42526,Q2 2010,0,0.0,146
472,627,36,Completed,0.2909,2.0,E,6.0,Debt Consolidation,Employed,NJ,Other,False,3.0,1666.666667,0.0,2500,2012-08-31,73206,Q3 2012,0,0.0,6
476,634,36,Completed,0.3125,1.0,HR,1.0,Business,Self-employed,MO,Other,False,0.0,3500.0,1.0,4000,2011-10-06,54195,Q4 2011,0,0.0,88
485,645,36,Completed,0.1768,5.0,B,8.0,Other,Employed,AL,Professional,True,1.0,11250.0,0.0,15000,2012-04-24,64243,Q2 2012,0,0.0,229
487,647,60,Defaulted,0.2179,4.0,C,5.0,Debt Consolidation,Employed,NY,Professional,True,0.0,4583.333333,0.0,10000,2013-05-31,91909,Q2 2013,0,0.0,1
491,656,36,Completed,0.199,4.0,C,9.0,Home Improvement,Retired,FL,Other,True,2.0,5000.0,1.0,2500,2010-02-26,41089,Q1 2010,0,0.0,113
493,658,60,Completed,0.0869,7.0,AA,10.0,Debt Consolidation,Employed,NJ,Analyst,True,0.0,10000.0,2.0,10000,2013-07-10,95219,Q3 2013,0,0.0,179
506,675,60,Completed,0.3027,3.0,D,6.0,Other,Employed,OH,Skilled Labor,False,0.0,2083.333333,0.0,7000,2012-01-11,58754,Q1 2012,0,0.0,68
